,voter_name,gender,candidate_id,region_id,candidate_name,party_id,province,party_name,vote_values
26,Lynn Bonnet,female,1,7,Jasmina Lemoine,1,Sumatera Selatan,Partai Sosial Demokrasi Indonesia,1
27,Nolan Noel,male,3,26,Nando Gauthier,3,Sulawesi Barat,Partai Amanat Indonesia,1
28,Giuseppa Dupont,female,3,30,Nando Gauthier,3,Nusa Tenggara Timur,Partai Amanat Indonesia,1
29,Gaetano Mathieu,male,4,30,Pirmin Petit,4,Nusa Tenggara Timur,Partai Kerjasama dan Utusan Rakyat,1
30,Patrik Nguyen,male,4,22,Pirmin Petit,4,Sulawesi Utara,Partai Kerjasama dan Utusan Rakyat,1
31,Timo Nguyen,male,2,1,Dylan Dufour,2,Aceh,Partai Republik Nasionalis Nusantara,1
32,Niels Robert,male,4,3,Pirmin Petit,4,Sumatera Barat,Partai Kerjasama dan Utusan Rakyat,1
33,Jason Meunier,male,1,32,Jasmina Lemoine,1,Maluku Utara,Partai Sosial Demokrasi Indonesia,1
34,Sybille Martin,female,3,11,Nando Gauthier,3,DKI Jakarta,Partai Amanat Indonesia,1
35,Cinzia Brunet,female,2,34,Dylan Dufour,2,Papua,Partai Republik Nasionalis Nusantara,1
36,Katja Pierre,female,2,13,Dylan Dufour,2,Banten,Partai Republik Nasionalis Nusantara,1
37,Arno Le Gall,male,1,34,Jasmina Lemoine,1,Papua,Partai Sosial Demokrasi Indonesia,1
38,Gianna Lemaire,female,3,29,Nando Gauthier,3,Nusa Tenggara Barat,Partai Amanat Indonesia,1
39,Marina Le Gall,female,1,6,Jasmina Lemoine,1,Jambi,Partai Sosial Demokrasi Indonesia,1
40,Germaine Noel,female,2,32,Dylan Dufour,2,Maluku Utara,Partai Republik Nasionalis Nusantara,1
41,Amelie Guillot,female,4,14,Pirmin Petit,4,Jawa Tengah,Partai Kerjasama dan Utusan Rakyat,1
42,Christina Robert,female,4,13,Pirmin Petit,4,Banten,Partai Kerjasama dan Utusan Rakyat,1
43,Diogo Dumas,male,2,11,Dylan Dufour,2,DKI Jakarta,Partai Republik Nasionalis Nusantara,1
44,Ahmet Muller,male,1,1,Jasmina Lemoine,1,Aceh,Partai Sosial Demokrasi Indonesia,1
45,Mark Caron,male,4,19,Pirmin Petit,4,Kalimantan Selatan,Partai Kerjasama dan Utusan Rakyat,1
46,Helmut Gonzalez,male,1,24,Jasmina Lemoine,1,Sulawesi Tengah,Partai Sosial Demokrasi Indonesia,1
47,Albin Roy,male,1,9,Jasmina Lemoine,1,Bengkulu,Partai Sosial Demokrasi Indonesia,1
48,Micheline Fernandez,female,4,2,Pirmin Petit,4,Sumatera Utara,Partai Kerjasama dan Utusan Rakyat,1
49,Ingeborg Aubert,female,1,3,Jasmina Lemoine,1,Sumatera Barat,Partai Sosial Demokrasi Indonesia,1
50,Harry Francois,male,1,9,Jasmina Lemoine,1,Bengkulu,Partai Sosial Demokrasi Indonesia,1
51,Katarina Roux,female,4,25,Pirmin Petit,4,Sulawesi Selatan,Partai Kerjasama dan Utusan Rakyat,1
52,Oscar Roche,male,3,25,Nando Gauthier,3,Sulawesi Selatan,Partai Amanat Indonesia,1
53,Nuno David,male,3,28,Nando Gauthier,3,Bali,Partai Amanat Indonesia,1
54,Astrid Adam,female,4,7,Pirmin Petit,4,Sumatera Selatan,Partai Kerjasama dan Utusan Rakyat,1
55,Rémy Robert,male,4,14,Pirmin Petit,4,Jawa Tengah,Partai Kerjasama dan Utusan Rakyat,1
56,Élise Blanchard,female,1,14,Jasmina Lemoine,1,Jawa Tengah,Partai Sosial Demokrasi Indonesia,1
57,Gilles Fleury,male,2,10,Dylan Dufour,2,Lampung,Partai Republik Nasionalis Nusantara,1
58,Hannah Noel,female,2,2,Dylan Dufour,2,Sumatera Utara,Partai Republik Nasionalis Nusantara,1
59,Louisa Pierre,female,2,18,Dylan Dufour,2,Kalimantan Tengah,Partai Republik Nasionalis Nusantara,1
60,Petar Riviere,male,2,11,Dylan Dufour,2,DKI Jakarta,Partai Republik Nasionalis Nusantara,1
61,Samuel Garcia,male,4,13,Pirmin Petit,4,Banten,Partai Kerjasama dan Utusan Rakyat,1
62,Roy Legrand,male,1,22,Jasmina Lemoine,1,Sulawesi Utara,Partai Sosial Demokrasi Indonesia,1
63,Juliette Durand,female,3,6,Nando Gauthier,3,Jambi,Partai Amanat Indonesia,1
64,Marlon Martin,male,3,30,Nando Gauthier,3,Nusa Tenggara Timur,Partai Amanat Indonesia,1
65,Anisa Dumont,female,2,1,Dylan Dufour,2,Aceh,Partai Republik Nasionalis Nusantara,1
66,Gina Gauthier,female,1,2,Jasmina Lemoine,1,Sumatera Utara,Partai Sosial Demokrasi Indonesia,1
67,Anne-Lise Lacroix,female,4,27,Pirmin Petit,4,Sulawesi Tenggara,Partai Kerjasama dan Utusan Rakyat,1
68,Lucien Le Gall,male,1,8,Jasmina Lemoine,1,Kep. Bangka Belitung,Partai Sosial Demokrasi Indonesia,1
69,Leila Philippe,female,2,4,Dylan Dufour,2,Riau,Partai Republik Nasionalis Nusantara,1
70,Alina Garnier,female,2,7,Dylan Dufour,2,Sumatera Selatan,Partai Republik Nasionalis Nusantara,1
71,Amir Boyer,male,4,31,Pirmin Petit,4,Maluku,Partai Kerjasama dan Utusan Rakyat,1
72,Thomas Lemoine,male,2,25,Dylan Dufour,2,Sulawesi Selatan,Partai Republik Nasionalis Nusantara,1
73,Markus Gerard,male,3,15,Nando Gauthier,3,DI Yogyakarta,Partai Amanat Indonesia,1
74,Léo Nguyen,male,1,18,Jasmina Lemoine,1,Kalimantan Tengah,Partai Sosial Demokrasi Indonesia,1
75,Jeannette Gauthier,female,2,23,Dylan Dufour,2,Gorontalo,Partai Republik Nasionalis Nusantara,1
76,Romeo Fernandez,male,1,16,Jasmina Lemoine,1,Jawa Timur,Partai Sosial Demokrasi Indonesia,1
77,Josefa Lemoine,female,1,6,Jasmina Lemoine,1,Jambi,Partai Sosial Demokrasi Indonesia,1
78,Ekaterina Guillot,female,4,19,Pirmin Petit,4,Kalimantan Selatan,Partai Kerjasama dan Utusan Rakyat,1
79,Dieter Leclercq,male,1,19,Jasmina Lemoine,1,Kalimantan Selatan,Partai Sosial Demokrasi Indonesia,1
80,Grégory Roux,male,1,14,Jasmina Lemoine,1,Jawa Tengah,Partai Sosial Demokrasi Indonesia,1
81,Giuliana Hubert,female,3,30,Nando Gauthier,3,Nusa Tenggara Timur,Partai Amanat Indonesia,1
82,Justine Fleury,female,4,21,Pirmin Petit,4,Kalimantan Utara,Partai Kerjasama dan Utusan Rakyat,1
83,Marlies Durand,female,4,16,Pirmin Petit,4,Jawa Timur,Partai Kerjasama dan Utusan Rakyat,1
84,Emanuel Roger,male,3,22,Nando Gauthier,3,Sulawesi Utara,Partai Amanat Indonesia,1
85,Carlos Meunier,male,4,17,Pirmin Petit,4,Kalimantan Barat,Partai Kerjasama dan Utusan Rakyat,1
86,Malin Philippe,female,1,14,Jasmina Lemoine,1,Jawa Tengah,Partai Sosial Demokrasi Indonesia,1
87,Samuele Francois,male,4,32,Pirmin Petit,4,Maluku Utara,Partai Kerjasama dan Utusan Rakyat,1
88,Diane Francois,female,3,16,Nando Gauthier,3,Jawa Timur,Partai Amanat Indonesia,1
89,Fernanda Francois,female,2,10,Dylan Dufour,2,Lampung,Partai Republik Nasionalis Nusantara,1
90,Katrin Lecomte,female,4,21,Pirmin Petit,4,Kalimantan Utara,Partai Kerjasama dan Utusan Rakyat,1
91,Cornelia Lemoine,female,2,7,Dylan Dufour,2,Sumatera Selatan,Partai Republik Nasionalis Nusantara,1
92,Manon Barbier,female,2,4,Dylan Dufour,2,Riau,Partai Republik Nasionalis Nusantara,1
93,Gertrud Riviere,female,1,9,Jasmina Lemoine,1,Bengkulu,Partai Sosial Demokrasi Indonesia,1
94,Joanna Bourgeois,female,2,9,Dylan Dufour,2,Bengkulu,Partai Republik Nasionalis Nusantara,1
95,Yolande Bourgeois,female,3,14,Nando Gauthier,3,Jawa Tengah,Partai Amanat Indonesia,1
96,Karl Legrand,male,2,5,Dylan Dufour,2,Kep. Riau,Partai Republik Nasionalis Nusantara,1
97,Jérémie Aubert,male,4,9,Pirmin Petit,4,Bengkulu,Partai Kerjasama dan Utusan Rakyat,1
98,Ute Sanchez,female,4,11,Pirmin Petit,4,DKI Jakarta,Partai Kerjasama dan Utusan Rakyat,1
99,Monika Brunet,female,1,11,Jasmina Lemoine,1,DKI Jakarta,Partai Sosial Demokrasi Indonesia,1
100,Alba Rodriguez,female,1,23,Jasmina Lemoine,1,Gorontalo,Partai Sosial Demokrasi Indonesia,1
101,Werner Rey,male,1,4,Jasmina Lemoine,1,Riau,Partai Sosial Demokrasi Indonesia,1
102,Liliane Richard,female,3,16,Nando Gauthier,3,Jawa Timur,Partai Amanat Indonesia,1
103,Suzanne Gautier,female,3,4,Nando Gauthier,3,Riau,Partai Amanat Indonesia,1
104,Fritz Bertrand,male,3,32,Nando Gauthier,3,Maluku Utara,Partai Amanat Indonesia,1
105,Carlo Carpentier,male,3,33,Nando Gauthier,3,Papua Barat,Partai Amanat Indonesia,1
106,Javier Girard,male,4,19,Pirmin Petit,4,Kalimantan Selatan,Partai Kerjasama dan Utusan Rakyat,1
107,Silvan Dupont,male,1,32,Jasmina Lemoine,1,Maluku Utara,Partai Sosial Demokrasi Indonesia,1
108,Arno Martin,male,1,11,Jasmina Lemoine,1,DKI Jakarta,Partai Sosial Demokrasi Indonesia,1
109,Emine Simon,female,1,10,Jasmina Lemoine,1,Lampung,Partai Sosial Demokrasi Indonesia,1
110,Medina Henry,female,4,2,Pirmin Petit,4,Sumatera Utara,Partai Kerjasama dan Utusan Rakyat,1
111,Audrey Menard,female,4,24,Pirmin Petit,4,Sulawesi Tengah,Partai Kerjasama dan Utusan Rakyat,1
112,Karl Leclerc,male,1,10,Jasmina Lemoine,1,Lampung,Partai Sosial Demokrasi Indonesia,1
113,Azra Meyer,female,2,16,Dylan Dufour,2,Jawa Timur,Partai Republik Nasionalis Nusantara,1
114,Mathias Meyer,male,3,16,Nando Gauthier,3,Jawa Timur,Partai Amanat Indonesia,1
115,Goran Gauthier,male,2,27,Dylan Dufour,2,Sulawesi Tenggara,Partai Republik Nasionalis Nusantara,1
116,Meinrad Dupont,male,2,6,Dylan Dufour,2,Jambi,Partai Republik Nasionalis Nusantara,1
117,Joy Marie,female,4,27,Pirmin Petit,4,Sulawesi Tenggara,Partai Kerjasama dan Utusan Rakyat,1
118,Liv Blanc,female,1,1,Jasmina Lemoine,1,Aceh,Partai Sosial Demokrasi Indonesia,1
119,Adnan David,male,4,30,Pirmin Petit,4,Nusa Tenggara Timur,Partai Kerjasama dan Utusan Rakyat,1
120,Hilda Robin,female,3,13,Nando Gauthier,3,Banten,Partai Amanat Indonesia,1
121,Odette Girard,female,2,33,Dylan Dufour,2,Papua Barat,Partai Republik Nasionalis Nusantara,1
122,Mustafa Gonzalez,male,3,12,Nando Gauthier,3,Jawa Barat,Partai Amanat Indonesia,1
123,Vivienne Rolland,female,2,29,Dylan Dufour,2,Nusa Tenggara Barat,Partai Republik Nasionalis Nusantara,1
124,José Thomas,male,2,19,Dylan Dufour,2,Kalimantan Selatan,Partai Republik Nasionalis Nusantara,1
125,Valeria Girard,female,1,27,Jasmina Lemoine,1,Sulawesi Tenggara,Partai Sosial Demokrasi Indonesia,1
126,Hannes Girard,male,4,4,Pirmin Petit,4,Riau,Partai Kerjasama dan Utusan Rakyat,1
127,Raquel Lecomte,female,3,25,Nando Gauthier,3,Sulawesi Selatan,Partai Amanat Indonesia,1
128,Josiane Durand,female,2,34,Dylan Dufour,2,Papua,Partai Republik Nasionalis Nusantara,1
129,Diogo Picard,male,3,18,Nando Gauthier,3,Kalimantan Tengah,Partai Amanat Indonesia,1
130,Pierre-Alain Nguyen,male,1,18,Jasmina Lemoine,1,Kalimantan Tengah,Partai Sosial Demokrasi Indonesia,1
131,Amira Laurent,female,2,30,Dylan Dufour,2,Nusa Tenggara Timur,Partai Republik Nasionalis Nusantara,1
132,Simon Colin,male,4,31,Pirmin Petit,4,Maluku,Partai Kerjasama dan Utusan Rakyat,1
133,Gianna Guerin,female,1,33,Jasmina Lemoine,1,Papua Barat,Partai Sosial Demokrasi Indonesia,1
134,Christian Renard,male,3,3,Nando Gauthier,3,Sumatera Barat,Partai Amanat Indonesia,1
135,Thibault Arnaud,male,2,9,Dylan Dufour,2,Bengkulu,Partai Republik Nasionalis Nusantara,1
136,Marie Brunet,female,4,31,Pirmin Petit,4,Maluku,Partai Kerjasama dan Utusan Rakyat,1
137,Ludwig Lucas,male,2,31,Dylan Dufour,2,Maluku,Partai Republik Nasionalis Nusantara,1
138,Philippe Joly,male,1,33,Jasmina Lemoine,1,Papua Barat,Partai Sosial Demokrasi Indonesia,1
139,Cecilia Hubert,female,1,19,Jasmina Lemoine,1,Kalimantan Selatan,Partai Sosial Demokrasi Indonesia,1
140,Valentin Bonnet,male,2,16,Dylan Dufour,2,Jawa Timur,Partai Republik Nasionalis Nusantara,1
141,Lucien Masson,male,1,21,Jasmina Lemoine,1,Kalimantan Utara,Partai Sosial Demokrasi Indonesia,1
142,Graziella Perrin,female,1,3,Jasmina Lemoine,1,Sumatera Barat,Partai Sosial Demokrasi Indonesia,1
143,Juliana Bourgeois,female,4,22,Pirmin Petit,4,Sulawesi Utara,Partai Kerjasama dan Utusan Rakyat,1
144,Beatrix Fournier,female,4,30,Pirmin Petit,4,Nusa Tenggara Timur,Partai Kerjasama dan Utusan Rakyat,1
145,Cristiano Guillaume,male,3,32,Nando Gauthier,3,Maluku Utara,Partai Amanat Indonesia,1
146,Elif Robert,female,3,9,Nando Gauthier,3,Bengkulu,Partai Amanat Indonesia,1
147,Fabio Schmitt,male,3,31,Nando Gauthier,3,Maluku,Partai Amanat Indonesia,1
148,Antonio Henry,male,4,5,Pirmin Petit,4,Kep. Riau,Partai Kerjasama dan Utusan Rakyat,1
149,Erich Roussel,male,4,30,Pirmin Petit,4,Nusa Tenggara Timur,Partai Kerjasama dan Utusan Rakyat,1
150,Nick Deschamps,male,2,6,Dylan Dufour,2,Jambi,Partai Republik Nasionalis Nusantara,1
151,Volker Boyer,male,2,20,Dylan Dufour,2,Kalimantan Timur,Partai Republik Nasionalis Nusantara,1
152,Mathilde Morel,female,3,6,Nando Gauthier,3,Jambi,Partai Amanat Indonesia,1
153,Cyril Leclercq,male,3,29,Nando Gauthier,3,Nusa Tenggara Barat,Partai Amanat Indonesia,1
154,Peter Lambert,male,4,34,Pirmin Petit,4,Papua,Partai Kerjasama dan Utusan Rakyat,1
155,Malin Muller,female,2,8,Dylan Dufour,2,Kep. Bangka Belitung,Partai Republik Nasionalis Nusantara,1
156,Laurence Leclerc,female,1,6,Jasmina Lemoine,1,Jambi,Partai Sosial Demokrasi Indonesia,1
157,Margareta Marchand,female,4,13,Pirmin Petit,4,Banten,Partai Kerjasama dan Utusan Rakyat,1
158,Ludwig Fleury,male,4,15,Pirmin Petit,4,DI Yogyakarta,Partai Kerjasama dan Utusan Rakyat,1
159,Raffaella Morel,female,1,27,Jasmina Lemoine,1,Sulawesi Tenggara,Partai Sosial Demokrasi Indonesia,1
160,Jérémie David,male,2,6,Dylan Dufour,2,Jambi,Partai Republik Nasionalis Nusantara,1
161,Aurora Renard,female,4,11,Pirmin Petit,4,DKI Jakarta,Partai Kerjasama dan Utusan Rakyat,1
162,Lena Gonzalez,female,3,21,Nando Gauthier,3,Kalimantan Utara,Partai Amanat Indonesia,1
163,Maria Brun,female,2,31,Dylan Dufour,2,Maluku,Partai Republik Nasionalis Nusantara,1
164,Therese Nguyen,female,1,23,Jasmina Lemoine,1,Gorontalo,Partai Sosial Demokrasi Indonesia,1
165,Timo Dufour,male,3,16,Nando Gauthier,3,Jawa Timur,Partai Amanat Indonesia,1
166,Karine Marie,female,2,32,Dylan Dufour,2,Maluku Utara,Partai Republik Nasionalis Nusantara,1
167,Albin Rey,male,4,16,Pirmin Petit,4,Jawa Timur,Partai Kerjasama dan Utusan Rakyat,1
168,Peter Dubois,male,2,5,Dylan Dufour,2,Kep. Riau,Partai Republik Nasionalis Nusantara,1
169,Solange Bourgeois,female,1,1,Jasmina Lemoine,1,Aceh,Partai Sosial Demokrasi Indonesia,1
170,Aron Girard,male,3,1,Nando Gauthier,3,Aceh,Partai Amanat Indonesia,1
171,Hermine Robin,female,1,29,Jasmina Lemoine,1,Nusa Tenggara Barat,Partai Sosial Demokrasi Indonesia,1
172,Marcus Legrand,male,1,26,Jasmina Lemoine,1,Sulawesi Barat,Partai Sosial Demokrasi Indonesia,1
173,Gonçalo Bernard,male,2,11,Dylan Dufour,2,DKI Jakarta,Partai Republik Nasionalis Nusantara,1
174,Marco Morel,male,3,13,Nando Gauthier,3,Banten,Partai Amanat Indonesia,1
175,Bryan Bernard,male,1,10,Jasmina Lemoine,1,Lampung,Partai Sosial Demokrasi Indonesia,1
176,Carmine Roussel,male,4,32,Pirmin Petit,4,Maluku Utara,Partai Kerjasama dan Utusan Rakyat,1
177,Sharon Garnier,female,3,3,Nando Gauthier,3,Sumatera Barat,Partai Amanat Indonesia,1
178,Georgios Menard,male,1,33,Jasmina Lemoine,1,Papua Barat,Partai Sosial Demokrasi Indonesia,1
179,Artur Adam,male,2,20,Dylan Dufour,2,Kalimantan Timur,Partai Republik Nasionalis Nusantara,1
180,Agnes Garnier,female,3,28,Nando Gauthier,3,Bali,Partai Amanat Indonesia,1
181,Leonard Mercier,male,4,7,Pirmin Petit,4,Sumatera Selatan,Partai Kerjasama dan Utusan Rakyat,1
182,Ronja Pierre,female,4,15,Pirmin Petit,4,DI Yogyakarta,Partai Kerjasama dan Utusan Rakyat,1
183,Eugen Perez,male,4,10,Pirmin Petit,4,Lampung,Partai Kerjasama dan Utusan Rakyat,1
184,Pierrette Menard,female,3,10,Nando Gauthier,3,Lampung,Partai Amanat Indonesia,1
185,Marc Lecomte,male,4,20,Pirmin Petit,4,Kalimantan Timur,Partai Kerjasama dan Utusan Rakyat,1
186,Nicholas Thomas,male,2,24,Dylan Dufour,2,Sulawesi Tengah,Partai Republik Nasionalis Nusantara,1
187,James Gaillard,male,4,31,Pirmin Petit,4,Maluku,Partai Kerjasama dan Utusan Rakyat,1
188,Ingeborg Mercier,female,3,15,Nando Gauthier,3,DI Yogyakarta,Partai Amanat Indonesia,1
189,Yanick Rolland,male,4,6,Pirmin Petit,4,Jambi,Partai Kerjasama dan Utusan Rakyat,1
190,Luisa Sanchez,female,4,5,Pirmin Petit,4,Kep. Riau,Partai Kerjasama dan Utusan Rakyat,1
191,Jasmine Robert,female,3,15,Nando Gauthier,3,DI Yogyakarta,Partai Amanat Indonesia,1
192,Sina Nicolas,female,3,11,Nando Gauthier,3,DKI Jakarta,Partai Amanat Indonesia,1
193,Christof Blanc,male,3,14,Nando Gauthier,3,Jawa Tengah,Partai Amanat Indonesia,1
194,Jeanine Lecomte,female,1,34,Jasmina Lemoine,1,Papua,Partai Sosial Demokrasi Indonesia,1
195,Carola Berger,female,1,14,Jasmina Lemoine,1,Jawa Tengah,Partai Sosial Demokrasi Indonesia,1
196,Alexis Meunier,male,3,28,Nando Gauthier,3,Bali,Partai Amanat Indonesia,1
197,Liana Faure,female,3,18,Nando Gauthier,3,Kalimantan Tengah,Partai Amanat Indonesia,1
198,Astrid Carpentier,female,2,29,Dylan Dufour,2,Nusa Tenggara Barat,Partai Republik Nasionalis Nusantara,1
199,Paulina Perrin,female,4,14,Pirmin Petit,4,Jawa Tengah,Partai Kerjasama dan Utusan Rakyat,1
200,Louis Morin,male,2,17,Dylan Dufour,2,Kalimantan Barat,Partai Republik Nasionalis Nusantara,1
201,Stefania Gerard,female,1,12,Jasmina Lemoine,1,Jawa Barat,Partai Sosial Demokrasi Indonesia,1
202,Ana Dufour,female,4,24,Pirmin Petit,4,Sulawesi Tengah,Partai Kerjasama dan Utusan Rakyat,1
203,Dragana Leclercq,female,2,30,Dylan Dufour,2,Nusa Tenggara Timur,Partai Republik Nasionalis Nusantara,1
204,Roland Chevalier,male,2,20,Dylan Dufour,2,Kalimantan Timur,Partai Republik Nasionalis Nusantara,1
205,Émile Morin,male,3,34,Nando Gauthier,3,Papua,Partai Amanat Indonesia,1
206,Deborah Perrin,female,2,7,Dylan Dufour,2,Sumatera Selatan,Partai Republik Nasionalis Nusantara,1
207,Silvan Guerin,male,4,2,Pirmin Petit,4,Sumatera Utara,Partai Kerjasama dan Utusan Rakyat,1
208,Éveline Lopez,female,2,33,Dylan Dufour,2,Papua Barat,Partai Republik Nasionalis Nusantara,1
209,Mateo Carpentier,male,1,17,Jasmina Lemoine,1,Kalimantan Barat,Partai Sosial Demokrasi Indonesia,1
210,Tom Brunet,male,4,5,Pirmin Petit,4,Kep. Riau,Partai Kerjasama dan Utusan Rakyat,1
211,Valérie Simon,female,3,17,Nando Gauthier,3,Kalimantan Barat,Partai Amanat Indonesia,1
212,Joel Fournier,male,3,5,Nando Gauthier,3,Kep. Riau,Partai Amanat Indonesia,1
213,Silvia Jean,female,2,16,Dylan Dufour,2,Jawa Timur,Partai Republik Nasionalis Nusantara,1
214,Gianfranco Dupont,male,2,3,Dylan Dufour,2,Sumatera Barat,Partai Republik Nasionalis Nusantara,1
215,Timo Leroy,male,3,6,Nando Gauthier,3,Jambi,Partai Amanat Indonesia,1
216,Afrim Rodriguez,male,2,5,Dylan Dufour,2,Kep. Riau,Partai Republik Nasionalis Nusantara,1
217,Audrey Olivier,female,3,5,Nando Gauthier,3,Kep. Riau,Partai Amanat Indonesia,1
218,Carine Perrin,female,2,25,Dylan Dufour,2,Sulawesi Selatan,Partai Republik Nasionalis Nusantara,1
219,Verena Brun,female,1,9,Jasmina Lemoine,1,Bengkulu,Partai Sosial Demokrasi Indonesia,1
220,Javier Lucas,male,1,7,Jasmina Lemoine,1,Sumatera Selatan,Partai Sosial Demokrasi Indonesia,1
221,Francesca Meunier,female,2,29,Dylan Dufour,2,Nusa Tenggara Barat,Partai Republik Nasionalis Nusantara,1
222,Roswitha Thomas,female,2,2,Dylan Dufour,2,Sumatera Utara,Partai Republik Nasionalis Nusantara,1
223,Diego Lemaire,male,3,21,Nando Gauthier,3,Kalimantan Utara,Partai Amanat Indonesia,1
224,Monica Guerin,female,4,24,Pirmin Petit,4,Sulawesi Tengah,Partai Kerjasama dan Utusan Rakyat,1
225,Pierre Joly,male,2,20,Dylan Dufour,2,Kalimantan Timur,Partai Republik Nasionalis Nusantara,1
226,Cäcilia Robin,female,4,23,Pirmin Petit,4,Gorontalo,Partai Kerjasama dan Utusan Rakyat,1
227,Sarina Gaillard,female,1,15,Jasmina Lemoine,1,DI Yogyakarta,Partai Sosial Demokrasi Indonesia,1
228,Vincent Roux,male,3,20,Nando Gauthier,3,Kalimantan Timur,Partai Amanat Indonesia,1
229,Gilbert Hubert,male,2,29,Dylan Dufour,2,Nusa Tenggara Barat,Partai Republik Nasionalis Nusantara,1
230,Sylviane Vidal,female,4,15,Pirmin Petit,4,DI Yogyakarta,Partai Kerjasama dan Utusan Rakyat,1
231,Karin Vidal,female,3,2,Nando Gauthier,3,Sumatera Utara,Partai Amanat Indonesia,1
232,Kim Dupuis,female,3,28,Nando Gauthier,3,Bali,Partai Amanat Indonesia,1
233,Urban Marchand,male,2,28,Dylan Dufour,2,Bali,Partai Republik Nasionalis Nusantara,1
234,Giovanna Gautier,female,2,14,Dylan Dufour,2,Jawa Tengah,Partai Republik Nasionalis Nusantara,1
235,Diane Gautier,female,2,24,Dylan Dufour,2,Sulawesi Tengah,Partai Republik Nasionalis Nusantara,1
236,Thi Blanchard,female,2,24,Dylan Dufour,2,Sulawesi Tengah,Partai Republik Nasionalis Nusantara,1
237,Alexis Jean,male,1,15,Jasmina Lemoine,1,DI Yogyakarta,Partai Sosial Demokrasi Indonesia,1
238,Sigrid Schmitt,female,1,13,Jasmina Lemoine,1,Banten,Partai Sosial Demokrasi Indonesia,1
239,Henry Joly,male,2,33,Dylan Dufour,2,Papua Barat,Partai Republik Nasionalis Nusantara,1
240,Hermine Girard,female,3,12,Nando Gauthier,3,Jawa Barat,Partai Amanat Indonesia,1
241,Ida Lefevre,female,4,8,Pirmin Petit,4,Kep. Bangka Belitung,Partai Kerjasama dan Utusan Rakyat,1
242,Gioia Garcia,female,2,32,Dylan Dufour,2,Maluku Utara,Partai Republik Nasionalis Nusantara,1
243,Joana Roussel,female,4,26,Pirmin Petit,4,Sulawesi Barat,Partai Kerjasama dan Utusan Rakyat,1
244,Mehmet Renaud,male,3,22,Nando Gauthier,3,Sulawesi Utara,Partai Amanat Indonesia,1
245,Nikola Marchand,male,2,33,Dylan Dufour,2,Papua Barat,Partai Republik Nasionalis Nusantara,1
